2 0.000225s 10
2 0.000288s 20
2 0.000536s 30
2 0.000810s 40
2 0.001447s 50
2 0.002315s 60
2 0.003661s 70
2 0.005299s 80
2 0.007544s 90
2 0.010124s 100
2 0.218014s 200
2 0.827914s 300
2 1.979329s 400
2 3.919610s 500
2 6.709680s 600
2 10.786622s 700
2 32.570598s 800
2 23.040448s 900
2 32.076102s 1000
4 0.000411s 10
4 0.000455s 20
4 0.000653s 30
4 0.001012s 40
4 0.001647s 50
4 0.002551s 60
4 0.003872s 70
4 0.005635s 80
4 0.008051s 90
4 0.010827s 100
4 0.206889s 200
4 0.831404s 300
4 1.992632s 400
4 3.932680s 500
4 6.736590s 600
4 10.811051s 700
4 32.170611s 800
4 23.124459s 900
4 32.327027s 1000
9 0.000991s 10
9 0.000912s 20
9 0.001042s 30
9 0.001393s 40
9 0.002156s 50
9 0.003008s 60
9 0.004456s 70
9 0.006345s 80
9 0.008951s 90
9 0.011658s 100
9 0.219574s 200
9 0.832117s 300
9 1.984126s 400
9 3.931679s 500
9 6.737143s 600
9 10.812600s 700
9 32.145795s 800
9 23.035938s 900
9 32.228227s 1000
16 0.001860s 10
16 0.001795s 20
16 0.001470s 30
16 0.001850s 40
16 0.002492s 50
16 0.003344s 60
16 0.004724s 70
16 0.006491s 80
16 0.008887s 90
16 0.011479s 100
16 0.208682s 200
16 0.827177s 300
16 1.994318s 400
16 3.931648s 500
16 6.708955s 600
16 10.784926s 700
16 32.878458s 800
16 23.018174s 900
16 32.143014s 1000
25 0.003076s 10
25 0.002996s 20
25 0.002534s 30
25 0.002548s 40
25 0.003237s 50
25 0.004078s 60
25 0.005394s 70
25 0.007247s 80
25 0.009890s 90
25 0.012240s 100
25 0.210495s 200
25 0.839512s 300
25 1.996175s 400
25 3.945061s 500
25 6.762094s 600
25 10.808590s 700
25 31.148227s 800
25 23.047216s 900
25 31.978806s 1000
