2 0.000083s 10
2 0.000549s 20
2 0.001751s 30
2 0.004512s 40
2 0.008879s 50
2 0.015143s 60
2 0.027765s 70
2 0.043097s 80
2 0.062017s 90
2 0.096418s 100
2 0.889542s 200
2 4.458779s 300
2 20.660389s 400
2 48.271055s 500
2 93.050353s 600
2 142.435070s 700
2 241.980431s 800
2 360.367473s 900
2 465.548725s 1000
3 0.000080s 10
3 0.000533s 20
3 0.001738s 30
3 0.004104s 40
3 0.007948s 50
3 0.014198s 60
3 0.027786s 70
3 0.042319s 80
3 0.060326s 90
3 0.090878s 100
3 0.754583s 200
3 4.403721s 300
3 18.769069s 400
3 52.116855s 500
3 91.079348s 600
3 150.696358s 700
3 241.812148s 800
3 342.189659s 900
3 484.132641s 1000
4 0.000077s 10
4 0.000544s 20
4 0.001737s 30
4 0.004106s 40
4 0.007980s 50
4 0.014838s 60
4 0.026982s 70
4 0.041972s 80
4 0.063416s 90
4 0.080924s 100
4 0.839539s 200
4 4.192490s 300
4 20.834959s 400
4 47.126946s 500
4 94.152173s 600
4 143.365103s 700
4 243.525157s 800
4 352.291509s 900
4 465.556264s 1000
