2 0.000026s 10
2 0.000187s 20
2 0.000619s 30
2 0.001434s 40
2 0.002825s 50
2 0.004936s 60
2 0.007901s 70
2 0.011763s 80
2 0.016949s 90
2 0.022945s 100
2 0.365207s 200
2 1.299752s 300
2 3.394610s 400
2 6.834351s 500
2 11.697791s 600
2 18.821134s 700
2 60.558381s 800
2 40.280595s 900
2 55.711162s 1000
4 0.000026s 10
4 0.000187s 20
4 0.000610s 30
4 0.001437s 40
4 0.002834s 50
4 0.004864s 60
4 0.007825s 70
4 0.011706s 80
4 0.016913s 90
4 0.022952s 100
4 0.405962s 200
4 1.388516s 300
4 3.373730s 400
4 6.814540s 500
4 11.694411s 600
4 18.804554s 700
4 72.968954s 800
4 40.159347s 900
4 55.538643s 1000
9 0.000026s 10
9 0.000187s 20
9 0.000610s 30
9 0.001434s 40
9 0.002835s 50
9 0.004892s 60
9 0.007815s 70
9 0.011718s 80
9 0.016858s 90
9 0.022936s 100
9 0.399793s 200
9 1.351866s 300
9 3.375596s 400
9 6.812110s 500
9 11.668534s 600
9 18.822406s 700
9 63.711411s 800
9 40.141142s 900
9 55.579104s 1000
16 0.000026s 10
16 0.000189s 20
16 0.000612s 30
16 0.001451s 40
16 0.002835s 50
16 0.004909s 60
16 0.007824s 70
16 0.011690s 80
16 0.016939s 90
16 0.022995s 100
16 0.395604s 200
16 1.363013s 300
16 3.343249s 400
16 6.788085s 500
16 11.658238s 600
16 18.822768s 700
16 71.407507s 800
16 40.113037s 900
16 55.589523s 1000
25 0.000026s 10
25 0.000189s 20
25 0.000611s 30
25 0.001432s 40
25 0.002825s 50
25 0.004945s 60
25 0.007916s 70
25 0.011749s 80
25 0.016922s 90
25 0.022957s 100
25 0.378012s 200
25 1.353797s 300
25 3.333389s 400
25 6.749990s 500
25 11.656827s 600
25 18.823130s 700
25 41.575341s 800
25 40.105517s 900
25 55.558266s 1000
