time of mean  10 with 2 thread is 243.454545us 0.000243s for  10 ec
time of mean  10 with 2 thread is 540.636364us 0.000541s for  20 ec
time of mean  10 with 2 thread is 921.909091us 0.000922s for  30 ec
time of mean  10 with 2 thread is 1506.363636us 0.001506s for  40 ec
time of mean  10 with 2 thread is 1949.181818us 0.001949s for  50 ec
time of mean  10 with 2 thread is 2760.363636us 0.002760s for  60 ec
time of mean  10 with 2 thread is 3814.818182us 0.003815s for  70 ec
time of mean  10 with 2 thread is 5063.272727us 0.005063s for  80 ec
time of mean  10 with 2 thread is 6454.363636us 0.006454s for  90 ec
time of mean  10 with 2 thread is 8419.454545us 0.008419s for  100 ec
time of mean  10 with 2 thread is 60413.818182us 0.060414s for  200 ec
time of mean  10 with 2 thread is 347537.636364us 0.347538s for  300 ec
time of mean  10 with 2 thread is 1131848.727273us 1.131849s for  400 ec
time of mean  10 with 2 thread is 2504443.636364us 2.504444s for  500 ec
time of mean  10 with 2 thread is 4309874.545455us 4.309875s for  600 ec
time of mean  10 with 2 thread is 7057674.909091us 7.057675s for  700 ec
time of mean  10 with 2 thread is 10853461.818182us 10.853462s for  800 ec
time of mean  10 with 2 thread is 15890733.090909us 15.890733s for  900 ec
time of mean  10 with 2 thread is 21962363.636364us 21.962364s for  1000 ec
time of mean  10 with 2 thread is 564271290.181818us 564.271290s for  3000 ec
time of mean  10 with 4 thread is 239.363636us 0.000239s for  10 ec
time of mean  10 with 4 thread is 528.000000us 0.000528s for  20 ec
time of mean  10 with 4 thread is 891.454545us 0.000891s for  30 ec
time of mean  10 with 4 thread is 1382.818182us 0.001383s for  40 ec
time of mean  10 with 4 thread is 2071.090909us 0.002071s for  50 ec
time of mean  10 with 4 thread is 2790.090909us 0.002790s for  60 ec
time of mean  10 with 4 thread is 3878.000000us 0.003878s for  70 ec
time of mean  10 with 4 thread is 5123.363636us 0.005123s for  80 ec
time of mean  10 with 4 thread is 6627.727273us 0.006628s for  90 ec
time of mean  10 with 4 thread is 8518.909091us 0.008519s for  100 ec
time of mean  10 with 4 thread is 58379.454545us 0.058379s for  200 ec
time of mean  10 with 4 thread is 344582.090909us 0.344582s for  300 ec
time of mean  10 with 4 thread is 1141512.818182us 1.141513s for  400 ec
time of mean  10 with 4 thread is 2475428.000000us 2.475428s for  500 ec
time of mean  10 with 4 thread is 4421474.545455us 4.421475s for  600 ec
time of mean  10 with 4 thread is 7121834.181818us 7.121834s for  700 ec
time of mean  10 with 4 thread is 10915735.272727us 10.915735s for  800 ec
time of mean  10 with 4 thread is 15080128.000000us 15.080128s for  900 ec
time of mean  10 with 4 thread is 20844096.000000us 20.844096s for  1000 ec
time of mean  10 with 4 thread is 556028881.454545us 556.028881s for  3000 ec
time of mean  10 with 10 thread is 240.363636us 0.000240s for  10 ec
time of mean  10 with 10 thread is 523.818182us 0.000524s for  20 ec
time of mean  10 with 10 thread is 892.181818us 0.000892s for  30 ec
time of mean  10 with 10 thread is 1406.818182us 0.001407s for  40 ec
time of mean  10 with 10 thread is 2146.090909us 0.002146s for  50 ec
time of mean  10 with 10 thread is 2925.090909us 0.002925s for  60 ec
time of mean  10 with 10 thread is 3948.909091us 0.003949s for  70 ec
time of mean  10 with 10 thread is 5133.636364us 0.005134s for  80 ec
time of mean  10 with 10 thread is 6652.727273us 0.006653s for  90 ec
time of mean  10 with 10 thread is 8504.909091us 0.008505s for  100 ec
time of mean  10 with 10 thread is 61803.545455us 0.061804s for  200 ec
time of mean  10 with 10 thread is 352996.909091us 0.352997s for  300 ec
time of mean  10 with 10 thread is 1137185.363636us 1.137185s for  400 ec
time of mean  10 with 10 thread is 2452450.727273us 2.452451s for  500 ec
time of mean  10 with 10 thread is 4415119.272727us 4.415119s for  600 ec
time of mean  10 with 10 thread is 7197285.818182us 7.197286s for  700 ec
time of mean  10 with 10 thread is 10871453.818182us 10.871454s for  800 ec
time of mean  10 with 10 thread is 15147521.454545us 15.147521s for  900 ec
time of mean  10 with 10 thread is 21430464.000000us 21.430464s for  1000 ec
time of mean  10 with 10 thread is 552732578.909091us 552.732579s for  3000 ec
time of mean  10 with 20 thread is 240.090909us 0.000240s for  10 ec
time of mean  10 with 20 thread is 522.363636us 0.000522s for  20 ec
time of mean  10 with 20 thread is 890.818182us 0.000891s for  30 ec
time of mean  10 with 20 thread is 1358.454545us 0.001358s for  40 ec
time of mean  10 with 20 thread is 2051.000000us 0.002051s for  50 ec
time of mean  10 with 20 thread is 2827.272727us 0.002827s for  60 ec
time of mean  10 with 20 thread is 3836.636364us 0.003837s for  70 ec
time of mean  10 with 20 thread is 5056.363636us 0.005056s for  80 ec
time of mean  10 with 20 thread is 6593.090909us 0.006593s for  90 ec
time of mean  10 with 20 thread is 8699.363636us 0.008699s for  100 ec
time of mean  10 with 20 thread is 57998.727273us 0.057999s for  200 ec
time of mean  10 with 20 thread is 349241.363636us 0.349241s for  300 ec
time of mean  10 with 20 thread is 1149003.272727us 1.149003s for  400 ec
time of mean  10 with 20 thread is 2464046.000000us 2.464046s for  500 ec
time of mean  10 with 20 thread is 4407754.181818us 4.407754s for  600 ec
time of mean  10 with 20 thread is 7125158.545455us 7.125159s for  700 ec
time of mean  10 with 20 thread is 10630449.454545us 10.630449s for  800 ec
time of mean  10 with 20 thread is 15460250.181818us 15.460250s for  900 ec
time of mean  10 with 20 thread is 21163029.818182us 21.163030s for  1000 ec
time of mean  10 with 20 thread is 546798592.000000us 546.798592s for  3000 ec
